43500 [1.22e-01, -8.52e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
44000 [1.22e-01, -8.52e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
44500 [1.22e-01, -8.53e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
45000 [1.22e-01, -8.53e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
45500 [1.22e-01, -8.54e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
46000 [1.22e-01, -8.54e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
46500 [1.22e-01, -8.55e-03, 2.04e-01, 6.98e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
47000 [1.22e-01, -8.55e-03, 2.04e-01, 6.97e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
47500 [1.22e-01, -8.56e-03, 2.04e-01, 6.97e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
48000 [1.22e-01, -8.56e-03, 2.04e-01, 6.97e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
48500 [1.22e-01, -8.57e-03, 2.04e-01, 6.97e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
49000 [1.22e-01, -8.57e-03, 2.04e-01, 6.97e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
49500 [1.22e-01, -8.58e-03, 2.04e-01, 6.97e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
50000 [1.22e-01, -8.58e-03, 2.04e-01, 6.97e-02, 2.97e-01, 1.88e-01, 3.00e-01, 2.35e-01]
